name,symbol,country,indice
3M,MMM,united states,Dow Jones Industrial Average
American Express,AXP,united states,Dow Jones Industrial Average
Amgen,AMGN,united states,Dow Jones Industrial Average
Apple,AAPL,united states,Dow Jones Industrial Average
Boeing,BA,united states,Dow Jones Industrial Average
Caterpillar,CAT,united states,Dow Jones Industrial Average
Chevron,CVX,united states,Dow Jones Industrial Average
Cisco,CSCO,united states,Dow Jones Industrial Average
Coca-Cola,KO,united states,Dow Jones Industrial Average
Dow,DOW,united states,Dow Jones Industrial Average
Goldman Sachs,GS,united states,Dow Jones Industrial Average
Home Depot,HD,united states,Dow Jones Industrial Average
Honeywell,HON,united states,Dow Jones Industrial Average
IBM,IBM,united states,Dow Jones Industrial Average
Intel,INTC,united states,Dow Jones Industrial Average
J&J,JNJ,united states,Dow Jones Industrial Average
JPMorgan,JPM,united states,Dow Jones Industrial Average
McDonald’s,MCD,united states,Dow Jones Industrial Average
Merck&Co,MRK,united states,Dow Jones Industrial Average
Microsoft,MSFT,united states,Dow Jones Industrial Average
Nike,NKE,united states,Dow Jones Industrial Average
Procter&Gamble,PG,united states,Dow Jones Industrial Average
Salesforce.com,CRM,united states,Dow Jones Industrial Average
Travelers,TRV,united states,Dow Jones Industrial Average
UnitedHealth,UNH,united states,Dow Jones Industrial Average
Verizon,VZ,united states,Dow Jones Industrial Average
Visa A,V,united states,Dow Jones Industrial Average
Walgreens Boots,WBA,united states,Dow Jones Industrial Average
Walmart,WMT,united states,Dow Jones Industrial Average
Walt Disney,DIS,united states,Dow Jones Industrial Average
Ford Motor,F,united states,S&P 500
Apple,AAPL,united states,S&P 500
AMD,AMD,united states,S&P 500
American Airlines,AAL,united states,S&P 500
Bank of America,BAC,united states,S&P 500
NVIDIA,NVDA,united states,S&P 500
Carnival Corp,CCL,united states,S&P 500
General Motors,GM,united states,S&P 500
Pfizer,PFE,united states,S&P 500
AT&T,T,united states,S&P 500
Micron,MU,united states,S&P 500
Walt Disney,DIS,united states,S&P 500
Tesla,TSLA,united states,S&P 500
Meta Platforms,FB,united states,S&P 500
Intel,INTC,united states,S&P 500
Microsoft,MSFT,united states,S&P 500
PayPal Holdings Inc,PYPL,united states,S&P 500
Hewlett Packard,HPE,united states,S&P 500
Freeport-McMoran,FCX,united states,S&P 500
Exxon Mobil,XOM,united states,S&P 500
J&J,JNJ,united states,S&P 500
Wells Fargo&Co,WFC,united states,S&P 500
Cisco,CSCO,united states,S&P 500
Norwegian Cruise Line,NCLH,united states,S&P 500
Verizon,VZ,united states,S&P 500
Activision Blizzard,ATVI,united states,S&P 500
Citigroup,C,united states,S&P 500
Twitter Inc,TWTR,united states,S&P 500
Macy’s Inc,M,united states,S&P 500
Comcast,CMCSA,united states,S&P 500
ViacomCBS,VIAC,united states,S&P 500
Host Hotels Resorts,HST,united states,S&P 500
United Airlines Holdings,UAL,united states,S&P 500
Occidental,OXY,united states,S&P 500
Coca-Cola,KO,united states,S&P 500
Boston Scientific,BSX,united states,S&P 500
Delta Air Lines,DAL,united states,S&P 500
Marathon Oil,MRO,united states,S&P 500
Viatris,VTRS,united states,S&P 500
Bristol-Myers Squibb,BMY,united states,S&P 500
Kinder Morgan,KMI,united states,S&P 500
Chevron,CVX,united states,S&P 500
Western Digital,WDC,united states,S&P 500
TJX,TJX,united states,S&P 500
Merck&Co,MRK,united states,S&P 500
JPMorgan,JPM,united states,S&P 500
Coty Inc,COTY,united states,S&P 500
Seagate,STX,united states,S&P 500
Regions Financial,RF,united states,S&P 500
Visa A,V,united states,S&P 500
Huntington Bancshares,HBAN,united states,S&P 500
General Electric,GE,united states,S&P 500
Starbucks,SBUX,united states,S&P 500
Schlumberger,SLB,united states,S&P 500
CSX,CSX,united states,S&P 500
Morgan Stanley,MS,united states,S&P 500
Williams,WMB,united states,S&P 500
Halliburton,HAL,united states,S&P 500
APA Corp,APA,united states,S&P 500
Qualcomm,QCOM,united states,S&P 500
Coterra Energy,CTRA,united states,S&P 500
Abbott Labs,ABT,united states,S&P 500
KeyCorp,KEY,united states,S&P 500
Oracle,ORCL,united states,S&P 500
Southwest Airlines,LUV,united states,S&P 500
Boeing,BA,united states,S&P 500
Gilead,GILD,united states,S&P 500
NextEra Energy,NEE,united states,S&P 500
Truist Financial Corp,TFC,united states,S&P 500
HP Inc,HPQ,united states,S&P 500
Walmart,WMT,united states,S&P 500
Lumen Technologies,LUMN,united states,S&P 500
Devon Energy,DVN,united states,S&P 500
Procter&Gamble,PG,united states,S&P 500
Applied Materials,AMAT,united states,S&P 500
Medtronic,MDT,united states,S&P 500
Baker Hughes,BKR,united states,S&P 500
Citizens Financial Group Inc,CFG,united states,S&P 500
IBM,IBM,united states,S&P 500
ConocoPhillips,COP,united states,S&P 500
Western Union,WU,united states,S&P 500
Mondelez,MDLZ,united states,S&P 500
Nike,NKE,united states,S&P 500
Altria,MO,united states,S&P 500
Dollar Tree,DLTR,united states,S&P 500
People’s United,PBCT,united states,S&P 500
Discovery A,DISCA,united states,S&P 500
Gap,GPS,united states,S&P 500
Mastercard,MA,united states,S&P 500
Hanesbrands,HBI,united states,S&P 500
Charles Schwab,SCHW,united states,S&P 500
MGM,MGM,united states,S&P 500
Amgen,AMGN,united states,S&P 500
Newmont Goldcorp,NEM,united states,S&P 500
NiSource,NI,united states,S&P 500
Kraft Heinz,KHC,united states,S&P 500
3M,MMM,united states,S&P 500
ConAgra Foods,CAG,united states,S&P 500
Nordstrom,JWN,united states,S&P 500
NortonLifeLock Inc,NLOK,united states,S&P 500
Global Payments,GPN,united states,S&P 500
Mosaic,MOS,united states,S&P 500
FirstEnergy,FE,united states,S&P 500
Tapestry,TPR,united states,S&P 500
Amcor PLC,AMCR,united states,S&P 500
The AES,AES,united states,S&P 500
Southern,SO,united states,S&P 500
Netflix,NFLX,united states,S&P 500
MetLife,MET,united states,S&P 500
Marathon Petroleum,MPC,united states,S&P 500
PPL,PPL,united states,S&P 500
Nielsen,NLSN,united states,S&P 500
Wynn Resorts,WYNN,united states,S&P 500
Xcel Energy,XEL,united states,S&P 500
Royal Caribbean Cruises,RCL,united states,S&P 500
Fidelity National Info,FIS,united states,S&P 500
Xilinx,XLNX,united states,S&P 500
Corteva,CTVA,united states,S&P 500
Exelon,EXC,united states,S&P 500
eBay,EBAY,united states,S&P 500
CVS Health Corp,CVS,united states,S&P 500
Salesforce.com,CRM,united states,S&P 500
Cardinal Health,CAH,united states,S&P 500
TechnipFMC,FTI,united states,S&P 500
Fiserv,FISV,united states,S&P 500
Kroger,KR,united states,S&P 500
U.S. Bancorp,USB,united states,S&P 500
IHS Markit Ltd,INFO,united states,S&P 500
EOG Resources,EOG,united states,S&P 500
PepsiCo,PEP,united states,S&P 500
Dow,DOW,united states,S&P 500
Fifth Third,FITB,united states,S&P 500
CenterPoint Energy,CNP,united states,S&P 500
Bank of NY Mellon,BK,united states,S&P 500
Consolidated Edison,ED,united states,S&P 500
Raytheon Technologies,RTX,united states,S&P 500
Corning,GLW,united states,S&P 500
Dominion Energy,D,united states,S&P 500
Walgreens Boots,WBA,united states,S&P 500
Fastenal,FAST,united states,S&P 500
ICE,ICE,united states,S&P 500
Texas Instruments,TXN,united states,S&P 500
PPG Industries,PPG,united states,S&P 500
Philip Morris,PM,united states,S&P 500
Lamb Weston Holdings,LW,united states,S&P 500
Colgate-Palmolive,CL,united states,S&P 500
Nucor,NUE,united states,S&P 500
AIG,AIG,united states,S&P 500
General Mills,GIS,united states,S&P 500
Realty Income,O,united states,S&P 500
Berkshire Hathaway B,BRKb,united states,S&P 500
Valero Energy,VLO,united states,S&P 500
T-Mobile US,TMUS,united states,S&P 500
Under Armour A,UAA,united states,S&P 500
Nov,noviembre,united states,S&P 500
Tyson Foods,TSN,united states,S&P 500
TripAdvisor,TRIP,united states,S&P 500
Home Depot,HD,united states,S&P 500
Synchrony Financial,SYF,united states,S&P 500
Aptiv,APTV,united states,S&P 500
Danaher,DHR,united states,S&P 500
Ball,BLL,united states,S&P 500
Kimco,KIM,united states,S&P 500
Amazon.com,AMZN,united states,S&P 500
Johnson Controls,JCI,united states,S&P 500
DuPont De Nemours,DD,united states,S&P 500
UnitedHealth,UNH,united states,S&P 500
State Street,STT,united states,S&P 500
Kohls Corp,KSS,united states,S&P 500
AbbVie,ABBV,united states,S&P 500
Microchip,MCHP,united states,S&P 500
Duke Energy,DUK,united states,S&P 500
Dentsply,XRAY,united states,S&P 500
NRG,NRG,united states,S&P 500
Target,TGT,united states,S&P 500
International Paper,IP,united states,S&P 500
Aflac,AFL,united states,S&P 500
Lowe’s,LOW,united states,S&P 500
Allstate,ALL,united states,S&P 500
American Express,AXP,united states,S&P 500
Centene,CNC,united states,S&P 500
Best Buy,BBY,united states,S&P 500
Invesco,IVZ,united states,S&P 500
CF Industries,CF,united states,S&P 500
Discovery Communications C,DISCK,united states,S&P 500
News Corp A,NWSA,united states,S&P 500
Waste Management,WM,united states,S&P 500
Honeywell,HON,united states,S&P 500
Expedia,EXPE,united states,S&P 500
Capital One Financial,COF,united states,S&P 500
Phillips 66,PSX,united states,S&P 500
FedEx,FDX,united states,S&P 500
Pinnacle West,PNW,united states,S&P 500
Cognizant A,CTSH,united states,S&P 500
Fox Corp A,FOXA,united states,S&P 500
American Electric Power,AEP,united states,S&P 500
Sysco,SYY,united states,S&P 500
Stanley Black Decker,SWK,united states,S&P 500
Caterpillar,CAT,united states,S&P 500
Monster Beverage,MNST,united states,S&P 500
Bath Body Works,BBWI,united states,S&P 500
IPG,IPG,united states,S&P 500
Citrix Systems,CTXS,united states,S&P 500
Juniper,JNPR,united states,S&P 500
Eli Lilly,LLY,united states,S&P 500
Marriott Int,MAR,united states,S&P 500
Masco,MAS,united states,S&P 500
Alaska Air,ALK,united states,S&P 500
Hilton Worldwide,HLT,united states,S&P 500
HollyFrontier,HFC,united states,S&P 500
Analog Devices,ADI,united states,S&P 500
Emerson,EMR,united states,S&P 500
Weyerhaeuser,WY,united states,S&P 500
L3Harris Technologies,LHX,united states,S&P 500
Ventas,VTR,united states,S&P 500
Diamondback,FANG,united states,S&P 500
Union Pacific,UNP,united states,S&P 500
PulteGroup,PHM,united states,S&P 500
